ID,SurveyFK,Group,Length,Quantity,PhotoURL,Notes,Hairy,Rolled,Tented,Sawfly,BeetleLarva
146,171,aphid,1,1,,,0,0,0,0,0
147,172,fly,10,1,147.jpeg,,0,0,0,0,0
148,173,spider,5,1,148.jpeg,,0,0,0,0,0
149,175,beetle,1,3,,,0,0,0,0,0
150,176,unidentified,6,1,150.jpeg,"I’m center of photo parallel on branch",0,0,0,0,0
151,176,spider,2,1,151.jpeg,,0,0,0,0,0
152,178,spider,2,1,,,0,0,0,0,0
42448,30247,ant,3,6,,,0,0,0,0,0
154,187,leafhopper,1,1,,,0,0,0,0,0
155,192,ant,1,60,,,0,0,0,0,0
156,195,ant,1,49,156.jpeg,,0,0,0,0,0
157,201,ant,5,1,157.jpeg,"Just a few scattered ants. Not a lot of other anthropods ",0,0,0,0,0
158,204,aphid,3,1,,,0,0,0,0,0
159,204,grasshopper,2,1,159.jpeg,,0,0,0,0,0
160,206,truebugs,3,4,,,0,0,0,0,0
161,209,ant,7,5,,,0,0,0,0,0
162,210,ant,3,2,,,0,0,0,0,0
163,211,ant,4,2,,,0,0,0,0,0
164,211,bee,8,1,,,0,0,0,0,0
165,213,ant,3,1,,,0,0,0,0,0
166,215,fly,4,1,166.jpeg,"The fly has translucent wings and that’s why we know it has leaves.  ",0,0,0,0,0
167,215,beetle,5,1,167.jpeg,"It was red with black dots. ",0,0,0,0,0
168,216,ant,10,2,,"Winged ant looking bugs",0,0,0,0,0
169,220,ant,5,1,,,0,0,0,0,0
170,222,ant,2,1,,,0,0,0,0,0
171,224,ant,5,1,,,0,0,0,0,0
172,225,ant,5,1,,,0,0,0,0,0
173,226,ant,5,1,,,0,0,0,0,0
174,227,ant,5,1,,,0,0,0,0,0
175,229,ant,5,1,,,0,0,0,0,0
176,232,caterpillar,30,3,,"Average was around 30mm",0,1,0,0,0
177,236,spider,4,1,,"It was brown with small but proportionate legs",0,0,0,0,0
178,237,spider,4,1,,"Elli didn't allow us to take a good look at it",0,0,0,0,0
179,247,fly,4,1,179.jpeg,,0,0,0,0,0
180,249,aphid,1,1,,,0,0,0,0,0
181,249,spider,1,1,,,0,0,0,0,0
182,251,beetle,8,2,182.jpeg,,0,0,0,0,0
183,252,ant,11,7,183.jpeg,,0,0,0,0,0
184,252,bee,16,1,184.jpeg,,0,0,0,0,0
185,252,beetle,7,2,185.jpeg,,0,0,0,0,0
186,255,spider,1,1,,"dark brown, spotted, small and fast",0,0,0,0,0
187,256,aphid,1,3,,,0,0,0,0,0
188,256,other,2,1,188.jpeg,Ladybug,0,0,0,0,0
189,257,caterpillar,20,1,,"Brownish green in color, I’m not sure what would describe it best but it was slick looking. Not very hairy ",0,1,0,0,0
190,260,ant,2,6,,,0,0,0,0,0
191,263,bee,6,1,,,0,0,0,0,0
192,264,spider,1,1,,,0,0,0,0,0
193,267,unidentified,2,2,,"Small, yellow speckled, black, had antennas ",0,0,0,0,0
194,268,unidentified,2,2,194.jpeg,"Small speckled/ freckled yellow and brown.  Antennas",0,0,0,0,0
195,269,ant,2,1,,,0,0,0,0,0
196,270,fly,1,1,196.jpeg,,0,0,0,0,0
197,274,caterpillar,10,2,197.jpeg,,0,0,0,0,0
198,274,caterpillar,15,1,198.jpeg,,1,0,1,0,0
199,274,other,18,1,199.jpeg,"I’m not quite sure what this was. It didn’t appear to have wings and had long thin legs. Refer to picture. ",0,0,0,0,0
200,275,aphid,3,3,,,0,0,0,0,0
201,276,truebugs,5,1,201.jpeg,"Did not move a lot ",0,0,0,0,0
202,278,aphid,1,1,,,0,0,0,0,0
203,278,leafhopper,1,26,203.jpeg,"hard to determine exact insect type as they were so small, but had similar characteristics to leafhoppers ",0,0,0,0,0
204,281,unidentified,2,2,,"Small body and legs. Body curves a bit",0,0,0,0,0
205,283,truebugs,40,1,205.jpeg,,0,0,0,0,0
206,284,unidentified,8,1,206.jpeg,"too small to distinguish",0,0,0,0,0
207,285,fly,4,1,207.jpeg,,0,0,0,0,0
208,287,aphid,2,3,,"Leaves with tiny holes",0,0,0,0,0
209,288,unidentified,1,1,,"VERY smal, black, looked like a beetle",0,0,0,0,0
210,290,fly,1,1,,"Very small, wings",0,0,0,0,0
211,293,fly,1,4,,,0,0,0,0,0
212,294,fly,3,2,212.jpeg,,0,0,0,0,0
213,295,fly,1,1,,"It's yellowish, looks like a ant sort of but has wings, was on the underside of leaf",0,0,0,0,0
214,299,fly,3,1,214.jpeg,,0,0,0,0,0
215,301,spider,2,1,215.jpeg,,0,0,0,0,0
216,319,ant,3,1,216.jpeg,,0,0,0,0,0
217,320,other,2,1,,"It was small and skinny and yellow",0,0,0,0,0
218,322,truebugs,4,1,218.jpeg,"Very small black bug",0,0,0,0,0
219,327,unidentified,2,1,,"Mostly black, yellow blots on sides, no wings, 6 legs, on a very small leaf",0,0,0,0,0
220,328,other,10,1,220.jpeg,"Spider: tan",0,0,0,0,0
221,329,ant,1,1,,,0,0,0,0,0
222,335,ant,15,1,,"Looks quite happy and healthy!",0,0,0,0,0
223,337,fly,2,2,223.jpeg,,0,0,0,0,0
224,340,aphid,1,1,224.jpeg,,0,0,0,0,0
225,349,leafhopper,2,1,,,0,0,0,0,0
226,379,aphid,4,1,226.jpeg,,0,0,0,0,0
227,383,ant,1,1,,,0,0,0,0,0
228,384,spider,5,1,,,0,0,0,0,0
229,388,caterpillar,30,1,229.jpeg,,1,0,0,0,0
230,389,ant,2,10,,,0,0,0,0,0
231,391,spider,3,1,231.jpeg,,0,0,0,0,0
232,397,ant,10,1,232.jpeg,,0,0,0,0,0
233,398,fly,3,1,,,0,0,0,0,0
234,398,truebugs,3,1,,,0,0,0,0,0
235,402,bee,3,1,,,0,0,0,0,0
236,403,fly,2,1,,,0,0,0,0,0
237,405,beetle,1,1,,"ladybird beetle larva",0,0,0,0,0
238,409,beetle,4,1,,"Lady bug",0,0,0,0,0
239,410,ant,2,2,,"Only 2 ants crawling up the trunk ",0,0,0,0,0
240,411,aphid,1,2,,,0,0,0,0,0
241,412,aphid,2,1,,"possibly has eggs",0,0,0,0,0
242,413,fly,8,1,,,0,0,0,0,0
243,415,truebugs,2,1,,,0,0,0,0,0
244,419,unidentified,10,1,,"Small black bug with wings",0,0,0,0,0
245,422,fly,1,1,,"Baby fly ",0,0,0,0,0
246,422,unidentified,1,1,,"Small black, white and translucent yellow bug ",0,0,0,0,0
247,427,fly,3,1,,,0,0,0,0,0
248,428,fly,1,2,,,0,0,0,0,0
249,436,beetle,9,2,,,0,0,0,0,0
250,439,ant,1,1,250.jpeg,"He had a black and yellow back ",0,0,0,0,0
251,443,ant,1,1,,,0,0,0,0,0
252,444,ant,2,1,,,0,0,0,0,0
253,445,beetle,5,1,,,0,0,0,0,0
254,451,aphid,3,1,,,0,0,0,0,0
255,457,leafhopper,2,1,255.jpeg,,0,0,0,0,0
256,461,fly,3,1,,,0,0,0,0,0
257,462,ant,10,1,257.jpeg,,0,0,0,0,0
258,463,spider,5,1,258.jpeg,,0,0,0,0,0
259,469,truebugs,8,1,259.jpeg,,0,0,0,0,0
260,471,spider,4,1,260.jpeg,,0,0,0,0,0
261,472,unidentified,4,2,261.jpeg,"Translucent wings, antenna visible, black bodies, heads look like little pins",0,0,0,0,0
262,473,truebugs,3,1,262.jpeg,,0,0,0,0,0
263,476,aphid,1,8,,,0,0,0,0,0
264,481,aphid,3,1,,,0,0,0,0,0
265,481,unidentified,1,1,265.jpeg,"symmwtrical wings, 1 mm",0,0,0,0,0
266,482,aphid,1,3,,,0,0,0,0,0
267,484,grasshopper,10,1,,,0,0,0,0,0
268,486,other,3,2,,Cocoons,0,0,0,0,0
269,487,spider,5,1,269.jpeg,"Green camouflaged very fast",0,0,0,0,0
270,487,ant,5,1,270.jpeg,,0,0,0,0,0
271,488,spider,3,1,271.jpeg,"Totally white no web",0,0,0,0,0
272,488,beetle,7,1,272.jpeg,"Click beetle family",0,0,0,0,0
273,491,spider,7,1,273.jpeg,"Same green camouflaged dude",0,0,0,0,0
274,496,bee,3,1,,,0,0,0,0,0
275,508,spider,4,1,,"White with a tiny leaf fold house",0,0,0,0,0
276,510,other,4,1,276.jpeg,"Looks like a spider inside",0,0,0,0,0
277,514,ant,5,1,,,0,0,0,0,0
278,518,beetle,1,1,,,0,0,0,0,0
279,520,spider,2,1,,,0,0,0,0,0
280,527,beetle,3,2,,,0,0,0,0,0
281,533,ant,4,5,,,0,0,0,0,0
282,534,moths,5,1,,,0,0,0,0,0
283,535,aphid,3,1,283.jpeg,,0,0,0,0,0
284,536,fly,5,1,,,0,0,0,0,0
285,537,unidentified,1,1,285.jpeg,"White fluffy ",0,0,0,0,0
286,538,ant,1,1,,,0,0,0,0,0
287,540,ant,4,1,,,0,0,0,0,0
288,546,ant,5,1,,,0,0,0,0,0
289,547,aphid,6,7,,,0,0,0,0,0
290,548,ant,10,17,,,0,0,0,0,0
291,549,ant,15,20,,,0,0,0,0,0
292,550,aphid,2,3,,,0,0,0,0,0
293,551,spider,5,5,,,0,0,0,0,0
294,552,ant,6,2,,,0,0,0,0,0
295,553,spider,4,4,,,0,0,0,0,0
296,554,spider,4,2,,,0,0,0,0,0
297,555,caterpillar,11,1,,,1,0,0,0,0
298,556,spider,4,2,,,0,0,0,0,0
299,558,beetle,4,1,,,0,0,0,0,0
300,559,spider,3,1,,,0,0,0,0,0
301,560,spider,4,1,,,0,0,0,0,0
302,562,spider,5,2,,,0,0,0,0,0
303,563,beetle,6,1,,,0,0,0,0,0
304,564,spider,4,2,,,0,0,0,0,0
305,566,beetle,4,2,,,0,0,0,0,0
306,567,spider,4,5,,,0,0,0,0,0
307,568,spider,4,1,,,0,0,0,0,0
308,569,spider,5,1,,,0,0,0,0,0
309,570,spider,4,2,,,0,0,0,0,0
310,571,spider,4,2,,,0,0,0,0,0
311,572,leafhopper,5,1,,,0,0,0,0,0
312,574,spider,8,1,,,0,0,0,0,0
313,579,caterpillar,12,1,,,0,0,0,0,0
314,580,leafhopper,11,1,,,0,0,0,0,0
315,582,beetle,6,1,,,0,0,0,0,0
316,583,spider,3,1,,,0,0,0,0,0
317,584,spider,3,1,,,0,0,0,0,0
318,585,spider,5,2,,,0,0,0,0,0
319,586,spider,4,2,,,0,0,0,0,0
320,587,spider,4,2,,,0,0,0,0,0
321,588,spider,2,1,,,0,0,0,0,0
322,589,spider,4,2,,,0,0,0,0,0
323,590,spider,4,2,,,0,0,0,0,0
324,592,spider,6,2,,,0,0,0,0,0
325,596,ant,3,2,,,0,0,0,0,0
326,597,ant,1,1,,,0,0,0,0,0
327,598,other,1,1,327.jpeg,"Looks similar to a flea",0,0,0,0,0
328,601,ant,5,1,,,0,0,0,0,0
329,604,unidentified,2,1,,"3 eggs",0,0,0,0,0
330,605,aphid,1,2,,,0,0,0,0,0
331,606,aphid,3,1,,,0,0,0,0,0
332,607,beetle,12,1,332.jpeg,,0,0,0,0,0
333,608,bee,25,1,,,0,0,0,0,0
334,610,spider,20,1,,,0,0,0,0,0
335,611,spider,27,1,,,0,0,0,0,0
336,612,beetle,3,1,,"Very tiny ",0,0,0,0,0
337,613,beetle,5,1,337.jpeg,,0,0,0,0,0
338,616,fly,1,1,,,0,0,0,0,0
339,616,ant,1,1,339.jpeg,,0,0,0,0,0
340,617,spider,100,1,340.jpeg,"Very light gray, camouflaged in the flower petal ",0,0,0,0,0
341,624,bee,15,1,,,0,0,0,0,0
342,627,other,6,4,342.jpeg,"The body is clear in some places and black others",0,0,0,0,0
343,631,caterpillar,3,2,343.jpeg,"One larger one and one smaller one. The little one might be dead",0,0,0,0,0
344,633,spider,5,1,,"It was an average looking spider and was very small. ",0,0,0,0,0
345,636,aphid,2,1,,,0,0,0,0,0
346,649,truebugs,1,1,,,0,0,0,0,0
347,654,unidentified,3,5,347.jpeg,"may not be a bug, unknown",0,0,0,0,0
348,655,ant,2,1,,,0,0,0,0,0
349,658,other,10,1,,Ladybug,0,0,0,0,0
350,659,unidentified,1,3,,Ladybugs,0,0,0,0,0
351,661,ant,2,2,,,0,0,0,0,0
352,662,spider,2,1,,,0,0,0,0,0
353,666,beetle,3,3,,Ladybug,0,0,0,0,0
354,671,ant,5,3,,,0,0,0,0,0
355,677,beetle,5,1,,,0,0,0,0,0
356,681,bee,12,2,,"Bees flew away with the strong gusts of wind. Extremely windy day. ",0,0,0,0,0
357,683,fly,5,1,357.jpeg,,0,0,0,0,0
358,685,leafhopper,1,2,358.jpeg,,0,0,0,0,0
359,686,unidentified,5,1,,"Long and thin",0,0,0,0,0
360,688,ant,3,1,360.jpeg,,0,0,0,0,0
361,689,beetle,10,1,,,0,0,0,0,0
362,694,beetle,5,1,,"One lady bug",0,0,0,0,0
363,698,ant,1,1,,,0,0,0,0,0
364,699,beetle,2,1,,"Very small",0,0,0,0,0
365,699,leafhopper,1,2,365.jpeg,,0,0,0,0,0
366,701,beetle,7,1,,Ladybug,0,0,0,0,0
367,702,ant,1,1,,,0,0,0,0,0
368,704,leafhopper,1,3,368.jpeg,,0,0,0,0,0
369,704,beetle,5,1,369.jpeg,,0,0,0,0,0
370,709,fly,5,1,,,0,0,0,0,0
371,716,ant,1,2,,,0,0,0,0,0
372,722,caterpillar,10,1,,,0,1,0,0,0
373,723,spider,2,1,,,0,0,0,0,0
374,727,ant,3,1,,"Ant feeding off leaf",0,0,0,0,0
375,728,ant,3,1,,"Feeding off of leaf ",0,0,0,0,0
376,730,fly,2,1,,"Flew away during survey",0,0,0,0,0
377,731,fly,2,1,,"Flew away during surveying, but was perched on leaf prior to that. ",0,0,0,0,0
378,736,spider,5,1,,,0,0,0,0,0
379,737,aphid,1,1,,,0,0,0,0,0
380,758,ant,10,2,,,0,0,0,0,0
5566,4606,ant,10,1,,,0,0,0,0,0
5270,4478,fly,2,1,,,0,0,0,0,0
383,764,ant,10,2,,"It's Can fly ",0,0,0,0,0
384,765,spider,2,2,,"Brownish blackish ",0,0,0,0,0
385,769,ant,125,5,,,0,0,0,0,0
386,770,ant,150,5,,,0,0,0,0,0
387,779,aphid,1,1,,,0,0,0,0,0
388,782,unidentified,50,1,388.jpeg,"White ",0,0,0,0,0
389,783,unidentified,10,4,,"Small white bugs that look like tiny specs",0,0,0,0,0
390,787,ant,4,7,390.jpeg,"There were several ants on the same leaf, and some were on other leaves as well.",0,0,0,0,0
391,789,caterpillar,2,1,,,0,1,0,0,0
392,790,ant,21,5,,,0,0,0,0,0
393,792,ant,20,3,,,0,0,0,0,0
394,793,grasshopper,5,2,,,0,0,0,0,0
395,794,unidentified,2,4,,"The arthropods possessed a relatively long body and tiny legs.  They were dark-Brown in color and occupied the underside of the leaf.",0,0,0,0,0
396,794,other,3,1,,"The anthropods were medium brown.",0,0,0,0,0
397,796,ant,3,3,,,0,0,0,0,0
398,798,spider,4,1,398.jpeg,"Looks fuzzy, 8 leaves ",0,0,0,0,0
399,803,spider,10,1,,,0,0,0,0,0
400,804,fly,1,2,,,0,0,0,0,0
401,809,fly,1,1,,,0,0,0,0,0
402,809,spider,1,1,,,0,0,0,0,0
403,810,ant,2,1,,Black,0,0,0,0,0
404,811,truebugs,1,1,404.jpeg,"To me, the red pattern on the back and the small size of the insect made me think that it has to be a true bug. While it doesn’t distinctly cross in an “x” on the back, I ruled out beetle because I don’t see an outer casing. ",0,0,0,0,0
405,813,beetle,7,1,,"Red Ladybug!",0,0,0,0,0
406,814,aphid,5,4,,,0,0,0,0,0
407,815,aphid,5,4,407.jpeg,,0,0,0,0,0
408,816,ant,2,1,408.jpeg,,0,0,0,0,0
409,816,aphid,3,1,,,0,0,0,0,0
410,816,bee,10,2,,,0,0,0,0,0
411,816,unidentified,1,2,,"Small bug with wings",0,0,0,0,0
412,818,fly,1,2,,,0,0,0,0,0
413,818,beetle,2,1,,,0,0,0,0,0
414,820,ant,3,1,,,0,0,0,0,0
415,820,aphid,2,1,,,0,0,0,0,0
416,824,spider,5,1,,,0,0,0,0,0
417,824,spider,6,1,,,0,0,0,0,0
418,827,aphid,2,62,,,0,0,0,0,0
419,839,ant,1,1,,,0,0,0,0,0
420,840,ant,4,1,420.jpeg,"4mm ant with wings
2.5cm leaf",0,0,0,0,0
421,840,ant,5,1,421.jpeg,"2cm leaf
5mm ant with wings",0,0,0,0,0
422,840,ant,3,1,,"3mm ant with wings
2cm leaf",0,0,0,0,0
423,841,ant,5,2,,"They were about 5 mm on a 1.5 uneaten leaf ",0,0,0,0,0
424,841,unidentified,2,1,,"It was a 2 mm bug on a 1 inch uneaten leaf",0,0,0,0,0
425,842,aphid,3,4,,,0,0,0,0,0
426,845,ant,4,1,426.jpeg,,0,0,0,0,0
427,845,fly,1,2,427.jpeg,,0,0,0,0,0
428,846,fly,1,1,428.jpeg,,0,0,0,0,0
429,847,fly,2,3,429.jpeg,,0,0,0,0,0
430,848,aphid,1,1,430.jpeg,,0,0,0,0,0
431,848,unidentified,1,1,431.jpeg,"Slender, small, gray",0,0,0,0,0
432,848,aphid,1,1,,,0,0,0,0,0
433,851,spider,2,1,,,0,0,0,0,0
434,852,spider,1,1,,,0,0,0,0,0
435,853,fly,1,1,,,0,0,0,0,0
436,856,spider,2,3,,,0,0,0,0,0
437,857,beetle,2,2,,,0,0,0,0,0
438,862,unidentified,2,4,,"Small black and white",0,0,0,0,0
439,863,spider,2,1,,"It was a tiny, white spider under one of my leaves.",0,0,0,0,0
440,864,ant,1,1,,,0,0,0,0,0
441,864,leafhopper,2,1,,,0,0,0,0,0
442,864,moths,2,1,,,0,0,0,0,0
5269,4477,bee,4,1,,,0,0,0,0,0
5268,4477,fly,3,1,,,0,0,0,0,0
5267,4474,fly,4,1,,,0,0,0,0,0
5266,4474,fly,2,1,,,0,0,0,0,0
5265,4474,spider,2,1,,,0,0,0,0,0
448,871,ant,5,5,,,0,0,0,0,0
449,871,truebugs,5,2,,,0,0,0,0,0
450,872,ant,3,2,,,0,0,0,0,0
451,872,truebugs,5,1,,,0,0,0,0,0
452,873,ant,1,1,,"black ant",0,0,0,0,0
453,873,leafhopper,2,1,,"green leaf bug",0,0,0,0,0
454,873,fly,1,1,,gnat,0,0,0,0,0
455,875,spider,2,3,,,0,0,0,0,0
456,875,fly,6,3,,,0,0,0,0,0
457,876,fly,9,4,,,0,0,0,0,0
458,876,ant,3,2,,,0,0,0,0,0
459,876,spider,2,2,,,0,0,0,0,0
460,877,fly,9,1,,,0,0,0,0,0
461,878,beetle,4,1,,,0,0,0,0,0
462,879,beetle,15,1,,,0,0,0,0,0
463,879,beetle,2,2,,,0,0,0,0,0
464,880,beetle,14,1,464.jpeg,,0,0,0,0,0
465,881,spider,5,1,,,0,0,0,0,0
466,881,spider,2,1,,,0,0,0,0,0
467,882,spider,2,1,,,0,0,0,0,0
468,884,spider,2,5,468.jpeg,,0,0,0,0,0
469,885,spider,4,1,,,0,0,0,0,0
470,885,spider,2,3,,,0,0,0,0,0
471,887,ant,2,1,,,0,0,0,0,0
472,887,caterpillar,3,1,,,0,0,0,0,0
473,887,spider,3,1,,,0,0,0,0,0
474,888,spider,2,1,,,0,0,0,0,0
475,889,spider,2,2,,,0,0,0,0,0
476,890,unidentified,2,1,476.jpeg,"White fluff",0,0,0,0,0
477,890,ant,4,1,477.jpeg,,0,0,0,0,0
478,893,ant,4,1,478.jpeg,,0,0,0,0,0
479,897,ant,4,1,479.jpeg,,0,0,0,0,0
480,900,ant,3,1,480.jpeg,,0,0,0,0,0
481,902,other,5,2,481.jpeg,"Spider has killed wasp and was eating, my activity made spider move off",0,0,0,0,0
482,904,spider,3,1,482.jpeg,"Small green translucent spider in leaf hpuse",0,0,0,0,0
483,905,ant,4,4,483.jpeg,,0,0,0,0,0
484,905,leafhopper,3,1,,"Green translucent flew away",0,0,0,0,0
485,910,beetle,2,1,,,0,0,0,0,0
486,912,beetle,2,1,,,0,0,0,0,0
487,917,beetle,2,1,,,0,0,0,0,0
488,918,caterpillar,7,1,488.jpeg,,0,0,0,0,0
489,919,fly,6,1,,,0,0,0,0,0
490,920,spider,2,3,,,0,0,0,0,0
491,923,spider,3,1,,,0,0,0,0,0
492,923,fly,2,1,,,0,0,0,0,0
493,924,spider,3,1,493.jpeg,,0,0,0,0,0
494,924,aphid,2,50,494.jpeg,,0,0,0,0,0
495,924,daddylonglegs,3,1,495.jpeg,,0,0,0,0,0
496,929,spider,5,1,496.jpeg,,0,0,0,0,0
497,931,spider,5,1,497.jpeg,,0,0,0,0,0
498,932,truebugs,4,1,498.jpeg,,0,0,0,0,0
499,934,spider,3,1,499.jpeg,,0,0,0,0,0
500,934,aphid,2,50,500.jpeg,,0,0,0,0,0
501,940,spider,3,1,501.jpeg,,0,0,0,0,0
502,946,spider,5,1,502.jpeg,,0,0,0,0,0
503,947,spider,4,1,503.jpeg,White,0,0,0,0,0
504,949,beetle,2,1,,,0,0,0,0,0
505,949,beetle,4,1,,,0,0,0,0,0
506,950,spider,4,1,,,0,0,0,0,0
507,950,spider,2,1,,,0,0,0,0,0
508,952,fly,6,1,508.jpeg,,0,0,0,0,0
509,954,beetle,4,1,,,0,0,0,0,0
510,954,beetle,2,2,,,0,0,0,0,0
511,954,caterpillar,15,1,511.jpeg,,0,0,0,0,0
512,954,spider,2,1,,,0,0,0,0,0
513,954,caterpillar,25,1,513.jpeg,,0,0,0,0,0
514,955,spider,4,1,,,0,0,0,0,0
515,955,spider,6,1,,,0,0,0,0,0
516,955,caterpillar,5,1,,,0,0,0,0,0
517,955,caterpillar,10,1,517.jpeg,,0,0,0,0,0
518,959,beetle,8,1,,,0,0,0,0,0
519,959,moths,6,1,,,0,0,0,0,0
520,961,beetle,5,1,,Dead,0,0,0,0,0
521,962,spider,5,1,,,0,0,0,0,0
522,962,spider,3,1,,,0,0,0,0,0
523,962,ant,4,1,,,0,0,0,0,0
524,972,beetle,6,1,524.jpeg,,0,0,0,0,0
525,976,ant,7,1,525.jpeg,,0,0,0,0,0
526,991,daddylonglegs,3,1,,,0,0,0,0,0
527,995,ant,8,1,527.jpeg,,0,0,0,0,0
528,1011,ant,3,1,,,0,0,0,0,0
529,1013,ant,4,2,,,0,0,0,0,0
530,1014,aphid,2,3,,,0,0,0,0,0
531,1015,ant,5,1,,,0,0,0,0,0
532,1015,beetle,2,1,,,0,0,0,0,0
533,1016,ant,8,2,,,0,0,0,0,0
