"Name"	"Region"	"Latitude"	"Longitude"	"nSurvs"	"nDates"	"nCat"	"pctCat"	"nArth"	"nPhoto"	"pctPhoto"	"county"
"Marin Municipal Water District"	"CA"	37.961387971888	-122.60038375854	171	9	33	0.193	728	13	0.018	"california,marin"
"Currituck Banks Reserve"	"NC"	36.38958959672	-75.830780073317	111	12	2	0.018	210	66	0.314	"north carolina,currituck"
"Appalachian State University"	"NC"	36.214363228894	-81.672682605992	164	14	38	0.232	855	5	0.006	"north carolina,watauga"
"Ijams Nature Center"	"TN"	35.957561221232	-83.866635560989	115	17	5	0.043	313	39	0.125	"tennessee,knox"
"Seven Islands State Birding Park"	"TN"	35.947412755256	-83.689454197884	100	10	13	0.13	437	19	0.043	"tennessee,knox"
"UNC Chapel Hill Campus"	"NC"	35.909876654033	-79.049644020807	2048	25	47	0.023	4381	136	0.031	"north carolina,orange"
"NC Botanical Garden"	"NC"	35.8994	-79.0339	1673	21	156	0.093	2164	231	0.107	"north carolina,orange"
"Discovery Center at Murfree Spring"	"TN"	35.83823893534	-86.387142745541	51	7	0	0	206	0	0	"tennessee,rutherford"
"Prairie Ridge Ecostation"	"NC"	35.8117	-78.7139	2481	21	413	0.166	5654	643	0.114	"north carolina,wake"
"Hemlock Bluffs"	"NC"	35.724098087769	-78.779309191044	270	10	4	0.015	235	16	0.068	"north carolina,wake"
"Great Smoky Mountains Institute at Tremont"	"TN"	35.639979235465	-83.688772827533	89	4	8	0.09	102	39	0.382	"tennessee,blount"
"East Carolina University"	"NC"	35.606393363404	-77.366304214415	57	5	0	0	45	0	0	"north carolina,pitt"
"Forest Meadow (TNCA)"	"NC"	35.498639751224	-82.607685261996	44	10	4	0.091	101	11	0.109	"north carolina,buncombe"
"Riverbanks"	"SC"	34.008771519018	-81.07626914978	362	15	5	0.014	337	0	0	"south carolina,richland"
"Fernbank Forest"	"GA"	33.77615094252	-84.321870803833	250	10	14	0.056	438	13	0.03	"georgia,de kalb"
"Columbus Botanical Garden"	"GA"	32.533984721365	-84.938069259433	151	7	12	0.079	249	17	0.068	"georgia,muscogee"
